ID,tweet,fecha,usuario,dispositivo
1305226879427903488,"Excelente Twitt

#RedAMLO 
#amlo https://t.co/heugFfqZ9g",2020-09-13 19:28:32,Vampiroperver,Twitter for Android
1305226011592790023,"@ElPoderdelaInfo Todos cooperamos pagando impuestos para que no hubiera necesidades en los hospitales para enfermos y médicos por el COVID y para que los niños con cancer no estuvieran muriendo mientras #AMLO desperdicia nuestro dinero en tonterías, como pagando a los inútiles como tú.",2020-09-13 19:25:05,PaulinaVelasco,Twitter for iPad
1305225695031750657,"Y aquí no podemos tener un 747 como avión oficial que porque es muy lujoso para representar a mexico,un avión reciente y seguro no es lujo es necesidad para fortalecer y facilitar el trabajo del ejecutivo, solo que al Kks le quedo grande el avión y el país #RedAMLO #amlo #obrador https://t.co/5c4jbo0cn4",2020-09-13 19:23:50,JAIMEAV00,Twitter for iPhone
1305225518208266241,@beatrizroblesgs Todos nos hundimos con #AmloCorruptoMafioso #AMLO #AmloFracasoPresidencial #AMLOver #AmloVeteYa #AMLOVERS #TodosSomosAMLO https://t.co/PT6euH6jzP,2020-09-13 19:23:08,CambiandoAgain,Twitter for iPhone
1305225502442094601,"Generación de empleos para niños de entre 11 y 14 años 🤷🏼‍♂️

#TodosSomosAMLO 
#ninosheroes #TodosSomosMexico #13Septiembre #amlo https://t.co/bW6jsT3ZDt",2020-09-13 19:23:04,MoyTorres1,Twitter for Android
1305224620191223810,"@MyriamMndez7 @GobiernoMX Tienes razón. Nos faltan Muchos Hospitales, Medicinas, Equipo, etc. Pues el Pri y Pan dejó el sistema de salud hecho un caos. #AMLOLujoDePresidente ya trabaja en eso. El PriAn dejo abandonados 350 hospitales, #Amlo ya los arreglo. Puedes verificarlo. #JuicioaExpresidentes https://t.co/ynxT0cPfo9",2020-09-13 19:19:34,jesusji2012,Twitter for Android
1305224600846966784,A sus hijos dinero de la corrupción a los niños mexicanos muerte y trabajo forzado @UNICEFenEspanol.@UNICEF @unicef_es  #AMLOExplotadordeNiños #AMLO #AmloAsesino #AmloCorruptoMafioso #AmloFracasoPresidencial https://t.co/XUWbVikbEt,2020-09-13 19:19:29,ngelOlivas6,Twitter for Android
1305224561252851713,Este pedacito de Hez hedionda está atorado aún con el tema de Ovidio... y dice que nuestro Presidente #AMLOLujoDePresidente se hincó ante él; el coprofágico no comprende que a quien se entrega es al pueblo. Por eso seguirán berreando! Vayamos por al #Reeleccion de #Amlo!!!! https://t.co/WfcbfQHH8j,2020-09-13 19:19:19,ndsight,Twitter for Android
1305223503336087562,"En la ceremonia a los Niños Heroes un bot dijo que #AMLO ha dividido al país. 1era ves que estoy de acuerdo con un bot. Ahora el país está dividido en #CORRUPTOS y buenos ciudadanos.
#TodosSomosAMLO 
Los bots solo entran a insultar por consigna. 
#OposicionMiserable",2020-09-13 19:15:07,MikETre20,Twitter for Android
1305223472143052800,"📸 #Especial Celebraciones patrias serán sin público y se honrará a los héroes de la salud: #AMLO #GritoDeIndependencia #210Aniversario #IndependenciaDeMexico 🎉🇲🇽
Nota Completa ➡️https://t.co/WFl2o4Oblg https://t.co/iNPkgoob41",2020-09-13 19:15:00,NoticiaInfoMx,Twitter Web App
1305223220530995201,"Aqui esta tu austeridad y tu lucha con la corrupcion HDTRPM 👉 @lopezobrador_ 

#InmundoChilloncito 
#AmloCorruptoMafioso 
#InmundoChilloncito 
#AmloCorruptoMafioso 
#InmundoChilloncito 
#AmloCorruptoMafioso 
#InmundoChilloncito 
#AmloCorruptoMafioso 
#amlo CHTM https://t.co/X76jvrokZf",2020-09-13 19:14:00,elmercentral,Twitter for Android
1305223034433757184,"COMPRE 2 BOLETOS.
QUE SIGAN CON EL ARDOR. LA OPOSICIÓN MORALMENTE DERROTADA.
AQUÍ MI APOYO AL PRESIDENTE. AL SISTEMA DE SALUD.
PEDÍ ME OBSEQUIARAN UN PÓSTER Y HASTA UN CALENDARIO ME REGALARON.
YA QUEDAN MUY POCOS.
#VIVAMEXICO
#VIVAMIPRESIDENTE
#AMLO
#CHINGTMDECALDERON 

#SUERTE https://t.co/OnaOsu8N0e",2020-09-13 19:13:15,EderJourdan,Twitter Web App
1305222633743622145,"Olga Sánchez Cordero recibió 14 concesiones de agua antes de tomar posesión como secretaria de Gobernación 
#México #AMLO #Agua 
https://t.co/2vOvSrMu1j",2020-09-13 19:11:40,impactocamargo,Twitter Web App
